SET_ID,pIC50,RDKIT_SMILES,trainingset_class,activity_label
305507,6.954677021213343,CCOc1cc(-c2ccc(N3CCC(N=C(O)C4(C)CCC4)C(O)C3)nc2)c2c(C#N)cnn2c1,test,1
305086,7.560667306169737,CC(C)(O)COc1cc(-c2ccc(N3CCC(C)(N=C(O)c4c(F)cccc4Cl)CC3)nc2)c2c(C#N)cnn2c1,test,1
305551,6.66354026615147,CCOc1cc(-c2ccc(N3CCC(CN(C)C)(N=C(O)CC4(OC)CC4)CC3)nc2)c2c(C#N)cnn2c1,test,1
305372,7.585026652029183,CCOc1cc(-c2ccc(N3CCC(CN4CCN(CC)CC4)(N=C(O)c4cc(F)ccc4C)CC3)nc2)c2c(C#N)cnn2c1,test,1
296743,6.681936665037237,COc1ncc(CN2C3CC2CN(c2ccc(-c4cc(OCC(C)O)cn5ncc(C#N)c45)cn2)C3)cc1F,test,1
305635,7.4034029043735385,CCOc1cc(-c2ccc(N3CCC(CN4CC5CC(C4)N5)(C(O)=NCC(C)C)CC3)nc2)c2c(C#N)cnn2c1,test,1
305467,5.454940415305998,CC(C)(O)COc1cc(-c2ccc(N3CCC(N)CC3)nc2)c2c(C#N)cnn2c1,training,0
305354,6.950781977329818,CCOc1cc(-c2ccc(N3CCC(CC)(C(O)=NCC(C)C)CC3)nc2)c2c(C#N)cnn2c1,test,1
305718,6.0030507515046185,Cc1nccnc1C(O)=NC1(C)CCN(c2ccc(-c3cc(OCC(C)(C)O)cn4ncc(C#N)c34)cn2)CC1,test,1
305545,6.7544873321858505,CCOc1cc(-c2ccc(N3CCC(COCCN4CCOCC4)(N=C(O)CC(C)C)CC3)nc2)c2c(C#N)cnn2c1,test,1
305242,7.716698771296451,COc1ncc(OC2CCN(c3ccc(-c4cc(OCC(C)(C)O)cn5ncc(C#N)c45)cn3)CC2)cc1F,test,1
305731,6.818156412055227,Cc1ccccc1CC1(O)CCN(c2ccc(-c3cc(OCC(C)(C)O)cn4ncc(C#N)c34)cn2)CC1,test,1
296814,6.271646217978772,COc1ncc(CN2C3CC2CN(c2cnc(-c4cc(OCCN5CCOCC5)cn5ncc(C#N)c45)cn2)C3)cc1Cl,training,1
296707,6.995678626217357,COc1ccc(CN2C3CC2CN(c2ccc(-c4cc(OCC5CCN(C)CC5)cn5ncc(C#N)c45)cn2)C3)cn1,test,1
305639,7.062983892535187,CCOc1cc(-c2ccc(N3CCC(CO)(C(O)=NCC(C)C)CC3)nc2)c2c(C#N)cnn2c1,test,1
296795,6.026410376572742,CCOc1cc(-c2ccc(N3CCC4(CCCN(CC)C4)C3)nc2)c2c(C#N)cnn2c1,test,1
305164,6.482804102050027,COc1ncc(OC2CN(c3ccc(-c4cc(OCC(C)(C)O)cn5ncc(C#N)c45)cn3)C2)cn1,test,1
305621,6.3535962737769305,CCOc1cc(-c2ccc(N3CCC(CN4CC5CC(C4)N5C(=O)OC(C)(C)C)(C(O)=NCC(C)C)CC3)nc2)c2c(C#N)cnn2c1,test,1
305193,6.847711655616944,CC(C)(O)COc1cc(-c2ccc(N3CCC(Oc4cncc(F)c4)C3)nc2)c2c(C#N)cnn2c1,test,1
305145,7.716698771296451,Cc1ccc(OC2CN(c3ccc(-c4cc(OCC(C)(C)O)cn5ncc(C#N)c45)cn3)C2)cc1,test,1
296808,6.991399828238082,CCOc1cc(-c2cnc(N3CC4CC(C3)N4Cc3ccc(OC)nc3)cn2)c2c(C#N)cnn2c1,training,1
305071,7.512861624522814,Cc1ncc(Cl)cc1C(O)=NC1(C)CCN(c2ccc(-c3cc(OCC(C)(C)O)cn4ncc(C#N)c34)cn2)CC1,test,1
305511,7.832682665251823,CCOc1cc(-c2ccc(N3CCC(N=C(O)c4ncccc4Cl)C(O)C3)nc2)c2c(C#N)cnn2c1,test,1
305406,7.266802734893432,COc1cc(-c2ccc(N3CCC(C)(N=C(O)c4cc(F)ccc4Cl)CC3)nc2)c2c(Cl)cnn2c1,test,1
305291,7.400116927926312,Cc1ccc(F)cc1C(O)=NC1(C)CCN(c2ccc(-c3cc(OCC4(C)CNC4)cn4ncc(C#N)c34)cn2)CC1,test,1
305220,6.876148359032914,CC(C)(O)COc1cc(-c2ccc(N3CCC(C)(N=C(O)c4ncccc4F)C3)nc2)c2c(C#N)cnn2c1,test,1
305610,6.586700235918747,CCOc1cc(-c2ccc(N3CCC(Cc4ccccn4)(N=C(O)CC4CN(CC)CCO4)CC3)nc2)c2c(C#N)cnn2c1,test,1
305014,6.627087997029892,CC(C)C(O)=NC1(C)CCN(c2ccc(-c3cc(OCC(C)(C)O)cn4ncc(C#N)c34)cn2)CC1,test,1
305192,7.059483515067433,Cc1cccc(OC2CCN(c3ccc(-c4cc(OCC(C)(C)O)cn5ncc(C#N)c45)cn3)C2)n1,test,1
305686,7.058488567365598,CCN1CC(F)(COc2cc(-c3cnc(N4CCC(C)(N=C(O)c5cc(F)ccc5Cl)CC4)cn3)c3c(C#N)cnn3c2)C1,test,1
305800,6.596879478824183,CCOc1cc(-c2ccc(N3CCC(Cc4ccccc4)(N=C(O)C4C(O)CCN4CC)CC3)nc2)c2c(C#N)cnn2c1,test,1
305064,7.586700235918747,CC(C)(O)COc1cc(-c2ccc(N3CCC(C)(N=C(O)c4c(F)cccc4F)CC3)nc2)c2c(C#N)cnn2c1,test,1
305129,6.928117992693874,Cc1c(Cl)cncc1C(O)=NC1(C)CCN(c2ccc(-c3cc(OCC(C)(C)O)cn4ncc(C#N)c34)cn2)CC1,test,1
305140,6.966576244513051,CC(C)(O)COc1cc(-c2ccc(N3CC(Oc4ccc(C#N)cc4)C3)nc2)c2c(C#N)cnn2c1,test,1
305031,7.458420756053419,COc1ccc(OC2CCN(c3ccc(-c4cc(OCC(C)(C)O)cn5ncc(C#N)c45)cn3)CC2)nn1,test,1
305318,7.54515513999149,CCOc1cc(-c2ccc(N3CCC(Cc4ccccc4)(N=C(O)CCO)CC3)nc2)c2c(C#N)cnn2c1,test,1
305797,7.431798275933005,CCOc1cc(-c2ccc(N3CCC(Cc4ccccc4)(N=C(O)C(N)C(C)O)CC3)nc2)c2c(C#N)cnn2c1,test,1
305790,7.568636235841013,CCOc1cc(-c2ccc(N3CCC(Cc4ccccc4)(N=C(O)CC(C)O)CC3)nc2)c2c(C#N)cnn2c1,test,1
296771,5.465085895570134,CCOc1cc(-c2ccc(N3CC4CC3CN4)nc2)c2c(C#N)cnn2c1,test,0
305670,7.939302159646387,Cc1cccc(Cl)c1C(O)=NC1(C)CCN(c2cnc(-c3cc(OCC4CNCCO4)cn4ncc(C#N)c34)cn2)CC1,test,1
305789,7.67778070526608,CCOc1cc(-c2ccc(N3CCC(Cc4ccccc4)(N=C(O)CO)CC3)nc2)c2c(C#N)cnn2c1,test,1
305542,6.293282217663242,CCOc1cc(-c2ccc(N3CCC(C)(N=C(O)OC4CCOC4)CC3)nc2)c2c(C#N)cnn2c1,test,1
305586,7.36251027048749,CCOc1cc(-c2ccc(N3CCC(CN4CCN(C)C(C)C4)(N=C(O)c4ncccc4Cl)CC3)nc2)c2c(C#N)cnn2c1,test,1
